,person_id,full_name,given_name,last_name,gender,graduate_degree,mfa_degree,role,prize_institution,prize_name,prize_year,prize_genre,prize_type,prize_amount,elite_1,elite_2,elite_3,award
2590,187.0,Arlene Croce,Arlene,Croce,female,0,no mfa,winner,American Academy of Arts and Letters,Arts and Letters Awards,1979.0,no genre,career,10000.0,Barnard College,,,1.0
2591,902.0,Hortense Calisher,Hortense,Calisher,female,0,no mfa,winner,American Academy of Arts and Letters,Arts and Letters Awards,1967.0,no genre,career,10000.0,Barnard College,,,1.0
2592,1275.0,Katherine Boo,Katherine,Boo,female,0,no mfa,winner,American Academy of Arts and Letters,Arts and Letters Awards,2013.0,no genre,career,10000.0,Barnard College,,,1.0
2593,1378.0,Leonie Adams,Leonie,Adams,female,0,no mfa,winner,Academy of American Poets,Academy of American Poets Fellowship,1974.0,poetry,career,25000.0,Barnard College,,,1.0
2594,1378.0,Leonie Adams,Leonie,Adams,female,0,no mfa,winner,American Academy of Arts and Letters,Arts and Letters Awards,1949.0,no genre,career,10000.0,Barnard College,,,1.0
2595,1378.0,Leonie Adams,Leonie,Adams,female,0,no mfa,winner,Yale University,Bollingen Prize for Poetry,1954.0,poetry,career,10000.0,Barnard College,,,1.0
2596,1378.0,Leonie Adams,Leonie,Adams,female,0,no mfa,winner,Library of Congress,Poet Laureate,1949.0,poetry,career,35000.0,Barnard College,,,1.0
2597,1378.0,Leonie Adams,Leonie,Adams,female,0,no mfa,winner,Library of Congress,Poet Laureate,1948.0,poetry,career,35000.0,Barnard College,,,1.0
2598,1455.0,Lydia Davis,Lydia,Davis,female,0,no mfa,winner,Lannan Foundation,Lannan Award,1998.0,prose,career,150000.0,Barnard College,,,1.0
2599,1455.0,Lydia Davis,Lydia,Davis,female,0,no mfa,winner,MacArthur Foundation,MacArthur Fellowship,2003.0,no genre,career,500000.0,Barnard College,,,1.0
2600,1455.0,Lydia Davis,Lydia,Davis,female,0,no mfa,winner,Whiting Foundation,Whiting Award,1988.0,no genre,career,50000.0,Barnard College,,,1.0
2601,2016.0,Rosellen Brown,Rosellen,Brown,female,0,no mfa,winner,American Academy of Arts and Letters,Arts and Letters Awards,1988.0,no genre,career,10000.0,Barnard College,,,1.0
2602,24.0,Adrienne Kennedy,Adrienne,Kennedy,female,0,no mfa,winner,American Academy of Arts and Letters,Arts and Letters Awards,1994.0,no genre,career,10000.0,,,,1.0
2603,34.0,Al Kennedy,Al,Kennedy,female,0,no mfa,winner,Lannan Foundation,Lannan Award,2007.0,prose,career,200000.0,,,,1.0
2604,78.0,Alice Munro,Alice,Munro,female,0,no mfa,winner,Lannan Foundation,Lannan Award,1995.0,prose,career,150000.0,,,,1.0
2605,101.0,Aminatta Forna,Aminatta,Forna,female,0,no mfa,winner,Yale University,Windham Campbell Prize,2014.0,prose,career,165000.0,,,,1.0
2606,105.0,Amy Clampitt,Amy,Clampitt,female,0,no mfa,winner,Academy of American Poets,Academy of American Poets Fellowship,1985.0,poetry,career,25000.0,,,,1.0
2607,105.0,Amy Clampitt,Amy,Clampitt,female,0,no mfa,winner,American Academy of Arts and Letters,Arts and Letters Awards,1984.0,no genre,career,10000.0,,,,1.0
2608,105.0,Amy Clampitt,Amy,Clampitt,female,0,no mfa,winner,MacArthur Foundation,MacArthur Fellowship,1992.0,no genre,career,500000.0,,,,1.0
2609,107.0,Amy Hempel,Amy,Hempel,female,0,no mfa,winner,American Academy of Arts and Letters,Harold D. Vursell Memorial Award,2007.0,prose,career,20000.0,,,,1.0
2610,107.0,Amy Hempel,Amy,Hempel,female,0,no mfa,winner,"United States Artists (Ford, Rockefeller, Rasmuson, and Prudential)",USA Fellowship,2006.0,no genre,career,50000.0,,,,1.0
2611,112.0,Amy Rowland,Amy,Rowland,female,0,no mfa,winner,American Academy of Arts and Letters,Metcalf Awards,2015.0,no genre,career,10000.0,,,,1.0
2612,122.0,Andrea Barrett,Andrea,Barrett,female,0,no mfa,winner,American Academy of Arts and Letters,Arts and Letters Awards,2003.0,no genre,career,10000.0,,,,1.0
2613,122.0,Andrea Barrett,Andrea,Barrett,female,0,no mfa,winner,MacArthur Foundation,MacArthur Fellowship,2001.0,no genre,career,500000.0,,,,1.0
2614,134.0,Angela Johnson,Angela,Johnson,female,0,no mfa,winner,MacArthur Foundation,MacArthur Fellowship,2003.0,no genre,career,500000.0,,,,1.0
2615,142.0,Ann Cornelisen,Ann,Cornelisen,female,0,no mfa,winner,American Academy of Arts and Letters,Arts and Letters Awards,1974.0,no genre,career,10000.0,,,,1.0
2616,144.0,Ann Goldstein,Ann,Goldstein,female,0,no mfa,winner,American Academy of Arts and Letters,Arts and Letters Awards,2015.0,no genre,career,10000.0,,,,1.0
2617,146.0,Ann Lauterbach,Ann,Lauterbach,female,0,no mfa,winner,MacArthur Foundation,MacArthur Fellowship,1993.0,no genre,career,500000.0,,,,1.0
2618,162.0,Anne Tyler,Anne,Tyler,female,0,no mfa,winner,American Academy of Arts and Letters,Arts and Letters Awards,1977.0,no genre,career,10000.0,,,,1.0
