,person_id,full_name,gender,graduate_degree,mfa_degree,award,prize_amount
260,364.0,Charles Wright,male,1,University of Iowa,10.0,275000.0
261,365.0,Charles Yu,male,0,no mfa,1.0,10000.0
262,366.0,Charles L. Mee,male,0,no mfa,1.0,10000.0
263,367.0,Charlotte Bacon,female,1,Columbia University,1.0,10000.0
264,368.0,Chase Twichell,female,1,University of Iowa,2.0,110000.0
265,369.0,Cherrie Moraga,female,1,no mfa,1.0,50000.0
266,371.0,Chester Kallman,male,1,no mfa,1.0,10000.0
267,372.0,Chimamanda Ngozi Adichie,female,1,Johns Hopkins University,1.0,500000.0
268,375.0,Chloe Aridjis,female,1,no mfa,1.0,15000.0
269,376.0,Chloe Honum,female,1,University of Arkansas,1.0,25800.0
270,377.0,Chris Abani,male,1,no mfa,3.0,110000.0
271,378.0,Chris Adrian,male,1,University of Iowa,1.0,10000.0
272,379.0,Chris Bachelder,male,1,University of Florida,1.0,10000.0
273,382.0,Chris Hedges,male,1,no mfa,1.0,10000.0
274,383.0,Chris Offutt,male,1,University of Iowa,2.0,100000.0
275,385.0,Christian Hawkey,male,1,"University of Massachusetts, Amherst",1.0,10000.0
276,386.0,Christian Wiman,male,1,no mfa,1.0,15000.0
277,387.0,Christina Pugh,female,1,no mfa,1.0,25800.0
278,389.0,Christine Stewart,female,1,University of Maryland,1.0,15000.0
279,390.0,Christopher Benfey,male,1,no mfa,1.0,20000.0
280,391.0,Christopher Brookhouse,male,1,no mfa,1.0,10000.0
281,392.0,Christopher Coake,male,1,Ohio State University,1.0,25000.0
282,393.0,Christopher Cokinos,male,1,Washington University,1.0,50000.0
283,394.0,Christopher Davis,male,0,no mfa,1.0,10000.0
284,395.0,Christopher Durang,male,1,Yale University,1.0,10000.0
285,396.0,Christopher Hitchens,male,0,no mfa,1.0,15000.0
286,399.0,Christopher Middleton,male,0,no mfa,1.0,10000.0
287,400.0,Christopher Shannon,male,1,University of Florida,1.0,25800.0
288,401.0,Christopher Tilghman,male,0,no mfa,1.0,50000.0
289,402.0,Chrystos Chrystos,female,0,no mfa,1.0,150000.0
290,403.0,Ciaran Berry,male,0,no mfa,1.0,50000.0
291,404.0,Cid Corman,male,0,no mfa,1.0,25000.0
292,405.0,Claire Messud,female,1,Syracuse University,2.0,110000.0
293,406.0,Claire Vaye Watkins,female,1,Ohio State University,2.0,60000.0
294,407.0,Clare Barron,female,1,Brooklyn College,1.0,50000.0
295,408.0,Clare Cavanagh,female,1,no mfa,1.0,10000.0
296,410.0,Clarence Coo,male,1,Columbia University,1.0,50000.0
297,412.0,Clark Blaise,male,1,University of Iowa,1.0,10000.0
298,413.0,Claude Wilkinson,male,1,University of Mississippi,1.0,50000.0
299,414.0,Claudia Emerson,female,1,University of North Carolina,1.0,15000.0
300,415.0,Claudia Rankine,female,1,Columbia University,7.0,945000.0
301,416.0,Claudia Roth Pierpont,female,1,New York University,1.0,50000.0
302,418.0,Clifford Thompson,male,0,no mfa,1.0,50000.0
303,420.0,Colin Cheney,male,1,New York University,1.0,25800.0
304,422.0,Colinm Turnbull,male,1,no mfa,1.0,10000.0
305,424.0,Colm Toibin,male,0,no mfa,1.0,10000.0
306,425.0,Colson Whitehead,male,0,no mfa,6.0,640000.0
307,426.0,Colum McCann,male,0,no mfa,2.0,20000.0
308,427.0,Connie Deanovich,female,1,no mfa,1.0,50000.0
309,428.0,Conrad Aiken,male,0,no mfa,7.0,165000.0
310,429.0,Conrad Richter,male,0,no mfa,3.0,35000.0
311,430.0,Cormac McCarthy,male,0,no mfa,5.0,575000.0
312,431.0,Cornelius Eady,male,1,Warren Wilson College,1.0,10000.0
313,432.0,Cortney Lamar Charleston,male,0,no mfa,1.0,25800.0
314,433.0,Courtney Brkic,female,1,New York University,1.0,50000.0
315,434.0,Craig Lucas,male,0,no mfa,1.0,10000.0
316,435.0,Craig Morgan Teicher,male,1,no mfa,1.0,25000.0
317,436.0,Craig Nova,male,0,no mfa,1.0,10000.0
318,437.0,Craig Santos Perez,male,1,University of San Francisco,1.0,50000.0
319,438.0,Cristina García,female,1,no mfa,2.0,675000.0
320,440.0,Crystal Wilkinson,female,1,Spalding University,1.0,50000.0
321,443.0,Cynthia Kadohata,female,1,no mfa,1.0,50000.0
322,444.0,Cynthia Macdonald,female,1,no mfa,2.0,20000.0
323,445.0,Cynthia Ozick,female,1,no mfa,4.0,275000.0
324,446.0,Cyree Jarelle Johnson,male,1,Columbia University,1.0,25800.0
325,447.0,Cyrus Cassells,male,0,no mfa,1.0,150000.0
326,448.0,D. A. Powell,male,1,University of Iowa,3.0,130000.0
327,449.0,D. J. Waldie,male,1,no mfa,1.0,50000.0
328,450.0,D. Nurkse,male,0,no mfa,1.0,10000.0
329,451.0,Dael Orlandersmith,female,0,no mfa,1.0,50000.0
330,452.0,Dagoberto Gilb,male,1,no mfa,2.0,60000.0
331,454.0,Dalia Sofer,female,1,Sarah Lawrence College,2.0,75000.0
332,455.0,Damien Wilkins,male,1,Washington University,1.0,50000.0
333,456.0,Dan Chaon,male,1,Syracuse University,1.0,10000.0
334,457.0,Dan Chiasson,male,1,no mfa,2.0,60000.0
335,458.0,Dan Josefson,male,1,University of Nevada,1.0,50000.0
336,461.0,Dana Levin,female,1,New York University,1.0,50000.0
337,462.0,Dana Spiotta,female,0,no mfa,2.0,30000.0
338,463.0,Danai Gurira,female,1,New York University,1.0,50000.0
339,464.0,Danez Smith,male,1,University of Michigan,2.0,35800.0
340,466.0,Daniel Alarcon,male,1,University of Iowa,2.0,100000.0
341,467.0,Daniel Borzutzky,male,1,School of Art Institute of Chicago,1.0,10000.0
342,468.0,Daniel Fuchs,male,0,no mfa,1.0,10000.0
343,469.0,Daniel Hall,male,0,no mfa,1.0,50000.0
344,471.0,Daniel Hoffman,male,1,no mfa,4.0,100000.0
345,473.0,Daniel Mason,male,1,no mfa,1.0,50000.0
346,475.0,Daniel Mendelsohn,male,1,no mfa,1.0,20000.0
347,476.0,Daniel Orozco,male,1,University of Washington,1.0,50000.0
348,477.0,Daniel Stern,male,0,no mfa,1.0,10000.0
349,478.0,Daniel Woodrell,male,1,University of Iowa,1.0,50000.0
350,479.0,Danielle Evans,female,1,University of Iowa,1.0,25000.0
351,481.0,Danielle McLaughlin,female,1,no mfa,1.0,165000.0
352,483.0,Danielmark Epstein,male,1,no mfa,1.0,10000.0
353,484.0,Danielp Mannix,male,0,no mfa,1.0,10000.0
354,485.0,Daniyal Mueenuddin,male,1,University of Arizona,1.0,10000.0
355,486.0,Danniel Schoonebeek,male,0,no mfa,1.0,25800.0
356,487.0,Danny Santiago,male,0,no mfa,1.0,10000.0
357,488.0,Danzy Senna,female,1,"Univeristy of California, Irvine",1.0,50000.0
358,489.0,Darcy O'Brien,male,1,no mfa,1.0,10000.0
359,490.0,Darius Simpson,male,1,Mills College,1.0,25800.0
360,491.0,Darrell Spencer,male,1,no mfa,1.0,15000.0
361,492.0,Darryl Pinckney,male,0,no mfa,3.0,80000.0
362,493.0,Daryl Hine,male,1,no mfa,2.0,510000.0
363,494.0,Dava Sobel,female,0,no mfa,1.0,20000.0
364,495.0,Dave Eggers,male,0,no mfa,1.0,10000.0
365,496.0,Dave Smith,male,1,no mfa,1.0,10000.0
366,497.0,David Adjmi,male,1,University of Iowa,1.0,50000.0
367,502.0,David Bosworth,male,0,no mfa,1.0,15000.0
368,503.0,David Bottoms,male,1,no mfa,1.0,10000.0
369,504.0,David Bradley,male,1,no mfa,1.0,15000.0
370,505.0,David Bromwich,male,1,no mfa,2.0,25000.0
371,506.0,David Chariandy,male,1,no mfa,1.0,165000.0
372,507.0,David Cook,male,0,no mfa,1.0,10000.0
373,508.0,David Cope,male,1,no mfa,1.0,10000.0
374,510.0,David Ebershoff,male,1,University of Chicago,1.0,10000.0
375,511.0,David Ferry,male,1,no mfa,6.0,180000.0
376,512.0,David Foster Wallace,male,1,University of Arizona,2.0,200000.0
377,514.0,David Gewanter,male,1,no mfa,1.0,50000.0
378,515.0,David Guterson,male,1,University of Washington,1.0,15000.0
379,516.0,David Harris Ebenbach,male,1,Vermont College of Fine Arts ,1.0,15000.0
380,518.0,David Henry Hwang,male,1,no mfa,1.0,50000.0
381,519.0,David Ignatow,male,0,no mfa,2.0,20000.0
382,520.0,David Jones,male,0,no mfa,1.0,10000.0
383,524.0,David Krump,male,1,no mfa,1.0,25800.0
384,526.0,David Lehman,male,1,no mfa,1.0,10000.0
385,527.0,David Lindsay-Abaire,male,0,no mfa,1.0,10000.0
386,528.0,David Long,male,1,University of Montana,1.0,10000.0
387,529.0,David Malouf,male,0,no mfa,1.0,150000.0
388,530.0,David Mamet,male,0,no mfa,1.0,10000.0
389,531.0,David Markson,male,1,no mfa,1.0,10000.0
390,532.0,David McCombs,male,0,no mfa,1.0,15000.0
391,533.0,David McCord,male,1,no mfa,1.0,10000.0
392,534.0,David McCullough,male,0,no mfa,1.0,40000.0
393,536.0,David Mitchell,male,1,no mfa,1.0,10000.0
394,537.0,David Morris,male,1,no mfa,1.0,15000.0
395,539.0,David Plante,male,0,no mfa,1.0,10000.0
396,540.0,David Quammen,male,1,no mfa,2.0,25000.0
397,541.0,David Rabe,male,1,no mfa,1.0,10000.0
398,542.0,David Riesman,male,0,no mfa,1.0,10000.0
399,543.0,David Rivard,male,1,University of Arizona,1.0,10000.0
400,544.0,David Shapiro,male,1,no mfa,1.0,10000.0
401,545.0,David St John,male,1,University of Iowa,2.0,20000.0
402,546.0,David Wagoner,male,1,no mfa,3.0,130000.0
403,547.0,David Wojahn,male,1,University of Arizona,2.0,35000.0
404,548.0,David Wong Louie,male,1,University of Iowa,1.0,50000.0
